TEMPERATURA,FECHA,HORA
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
23,10/05/22/11/Wednesday,23:11:01
23,10/05/22/11/Wednesday,23:11:01
23,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
23,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
16,10/05/22/11/Wednesday,23:11:01
15,10/05/22/11/Wednesday,23:11:01
15,10/05/22/11/Wednesday,23:11:01
17,10/05/22/11/Wednesday,23:11:01
23,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
23,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
24,10/05/22/11/Wednesday,23:11:01
23,10/05/22/11/Wednesday,23:11:01
18,10/05/22/11/Wednesday,23:11:01
16,10/05/22/11/Wednesday,23:11:01
14,10/05/22/11/Wednesday,23:11:01
12,10/05/22/11/Wednesday,23:11:01
11,10/05/22/11/Wednesday,23:11:01
8,10/05/22/11/Wednesday,23:11:01
6,10/05/22/11/Wednesday,23:11:01
6,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
6,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
5,10/05/22/11/Wednesday,23:11:01
6,10/05/22/11/Wednesday,23:11:01
7,10/05/22/11/Wednesday,23:11:01
4,10/05/22/11/Wednesday,23:11:01
3,10/05/22/11/Wednesday,23:11:01
4,10/05/22/11/Wednesday,23:11:01
4,10/05/22/11/Wednesday,23:11:01
4,10/05/22/11/Wednesday,23:11:01
3,10/05/22/11/Wednesday,23:11:01
3,10/05/22/11/Wednesday,23:11:01
3,10/05/22/11/Wednesday,23:11:01
3,10/05/22/11/Wednesday,23:11:01
